feedback_id,date,canal,segment_client,region,produit_service,parcours_client,score,sentiment_attendu,theme_attendu,sous_theme,irritant,niveau_urgence,impact_business,est_bloquant,commentaire
ECOMMERCE-000036,2025-06-21,Application mobile,Client régulier,Belgique,Abonnement premium,Support après-vente,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,je comprends pas
ECOMMERCE-000037,2025-12-02,Trustpilot,Client entreprise,Hauts-de-France,Commande marketplace,Retour,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"Je n’ai pas rencontré de blocage majeur, mais la communication pourrait être améliorée."
ECOMMERCE-000038,2025-05-28,Avis site,Client premium,Belgique,Retour produit,Livraison,1,negative,Support client,relances multiples,relances multiples,Faible,augmentation des relances et baisse satisfaction,False,Le service client répond avec des messages automatiques qui ne traitent pas mon problème. Cette situation est remontée depuis Belgique et touche surtout le parcours livraison.
ECOMMERCE-000039,2025-02-03,Application mobile,Client entreprise,Auvergne-Rhône-Alpes,Commande marketplace,Remboursement,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,vraiment compliqué
ECOMMERCE-000040,2025-12-03,Avis site,Client entreprise,Belgique,Retour produit,Retour,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"à revoir, surtout les explications"
ECOMMERCE-000041,2025-01-16,Chat client,Client entreprise,Hauts-de-France,Commande marketplace,Remboursement,2,negative,Support client,réponses contradictoires,réponses contradictoires,Faible,augmentation des relances et baisse satisfaction,False,ca marche pas
ECOMMERCE-000042,2025-11-13,Application mobile,Client entreprise,Suisse,Livraison standard,Achat,2,negative,Remboursement / Facturation,remboursement trop lent,remboursement trop lent,Faible,friction financière et perte de crédibilité,False,"Le montant remboursé ne correspond pas au montant validé lors du retour. Pour un profil client entreprise, ce niveau de friction réduit fortement la confiance dans le service."
ECOMMERCE-000043,2025-09-12,Trustpilot,Client entreprise,Auvergne-Rhône-Alpes,Retour produit,Achat,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"Le service fonctionne, mais certaines étapes pourraient être mieux expliquées."
ECOMMERCE-000044,2025-11-09,Email SAV,Nouveau client,Île-de-France,Livraison express,Achat,1,negative,Remboursement / Facturation,remboursement trop lent,remboursement trop lent,Faible,friction financière et perte de crédibilité,False,ça devient pénible
ECOMMERCE-000045,2025-01-14,Chat client,Nouveau client,Hauts-de-France,Livraison standard,Support après-vente,1,negative,Support client,réponses contradictoires,réponses contradictoires,Faible,augmentation des relances et baisse satisfaction,False,"L’agent était poli, mais il n’avait pas la capacité de résoudre le problème. Cette situation est remontée depuis Hauts-de-France et touche surtout le parcours support après-vente."
ECOMMERCE-000046,2025-07-08,Avis site,Client premium,Suisse,Abonnement premium,Achat,1,negative,Remboursement / Facturation,avoir non reçu,avoir non reçu,Faible,friction financière et perte de crédibilité,False,toujours rien reçu
ECOMMERCE-000047,2025-11-29,Email SAV,Client premium,Belgique,Commande marketplace,Livraison,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,Le problème a été résolu rapidement après mon contact avec le support.
ECOMMERCE-000048,2025-12-20,Application mobile,Client entreprise,Belgique,Retour produit,Retour,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,bof
ECOMMERCE-000049,2025-01-16,Application mobile,Client entreprise,Suisse,Commande marketplace,Retour,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"L’expérience est correcte, mais il manque un suivi plus visible."
ECOMMERCE-000050,2025-01-06,Application mobile,Client premium,Auvergne-Rhône-Alpes,Retour produit,Support après-vente,4,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"Le service a été rapide, clair et la personne en charge m’a donné une réponse utile."
ECOMMERCE-000051,2025-11-13,Application mobile,Client entreprise,Belgique,Livraison express,Remboursement,2,negative,Produit / Qualité,produit défectueux,produit défectueux,Modérée,dégradation de la promesse produit,False,"Le produit fonctionne, mais l’emballage était insuffisant et plusieurs éléments étaient rayés à l’arrivée. Cela a retardé une décision importante."
ECOMMERCE-000052,2025-11-23,Application mobile,Client premium,Belgique,Retour produit,Retour,3,negative,Livraison / Logistique,retard livraison express,retard livraison express,Faible,perte de confiance post-achat,False,bloqué depuis hier
ECOMMERCE-000053,2025-11-27,Email SAV,Client régulier,Hauts-de-France,Commande marketplace,Retour,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"merci au support cette fois, problème réglé rapidement"
ECOMMERCE-000054,2025-04-08,Chat client,Nouveau client,Hauts-de-France,Livraison express,Retour,1,negative,Support client,absence de suivi,absence de suivi,Faible,augmentation des relances et baisse satisfaction,False,"J’ai contacté le support trois fois et j’ai reçu trois réponses différentes. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
ECOMMERCE-000055,2025-08-27,Chat client,Nouveau client,Suisse,Commande marketplace,Remboursement,1,negative,Livraison / Logistique,transporteur injoignable,transporteur injoignable,Modérée,perte de confiance post-achat,False,"J’ai payé une livraison express pour recevoir ma commande avant un déplacement, mais le colis est arrivé avec plusieurs jours de retard. Le cas concerne le segment nouveau client, sur le parcours remboursement, avec un impact direct sur commande marketplace."
ECOMMERCE-000056,2025-12-05,Email SAV,Client premium,Île-de-France,Livraison standard,Support après-vente,1,negative,Produit / Qualité,produit incomplet,produit incomplet,Faible,dégradation de la promesse produit,False,"J’ai reçu une mauvaise taille malgré une commande correctement validée. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
ECOMMERCE-000057,2025-05-24,Avis site,Nouveau client,Suisse,Livraison express,Livraison,2,negative,Livraison / Logistique,colis endommagé,colis endommagé,Modérée,perte de confiance post-achat,False,"J’ai payé une livraison express pour recevoir ma commande avant un déplacement, mais le colis est arrivé avec plusieurs jours de retard. Cela peut pousser un client à ne pas revenir."
ECOMMERCE-000058,2025-02-08,Chat client,Nouveau client,Hauts-de-France,Retour produit,Remboursement,3,negative,Livraison / Logistique,colis endommagé,colis endommagé,Faible,perte de confiance post-achat,False,Le colis a été reporté trois fois sans information claire. J’ai dû contacter le service client moi-même pour comprendre où était ma commande. Cette situation est remontée depuis Hauts-de-France et touche surtout le parcours remboursement.
ECOMMERCE-000059,2025-11-04,Avis site,Client régulier,Île-de-France,Livraison express,Retour,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"Je n’ai pas rencontré de blocage majeur, mais la communication pourrait être améliorée."
ECOMMERCE-000060,2025-08-26,Application mobile,Client entreprise,Auvergne-Rhône-Alpes,Abonnement premium,Remboursement,1,negative,Communication,manque de transparence,manque de transparence,Élevée,manque de visibilité client,False,Je n’ai reçu aucune notification proactive alors que ma commande était en retard. Cela peut pousser un client à ne pas revenir.
ECOMMERCE-000061,2025-09-13,Application mobile,Nouveau client,Auvergne-Rhône-Alpes,Livraison standard,Livraison,2,negative,Communication,informations contradictoires,informations contradictoires,Faible,manque de visibilité client,False,c’est pas clair du tout
ECOMMERCE-000062,2025-06-28,Chat client,Client entreprise,Auvergne-Rhône-Alpes,Livraison standard,Livraison,3,negative,Livraison / Logistique,transporteur injoignable,transporteur injoignable,Modérée,perte de confiance post-achat,False,"J’ai payé une livraison express pour recevoir ma commande avant un déplacement, mais le colis est arrivé avec plusieurs jours de retard. Le cas concerne le segment client entreprise, sur le parcours livraison, avec un impact direct sur livraison standard."
ECOMMERCE-000063,2025-08-12,Avis site,Client entreprise,Suisse,Abonnement premium,Remboursement,2,negative,Remboursement / Facturation,facture incompréhensible,facture incompréhensible,Faible,friction financière et perte de crédibilité,False,"J’ai reçu un avoir au lieu d’un remboursement alors que j’avais demandé un remboursement bancaire. Pour un profil client entreprise, ce niveau de friction réduit fortement la confiance dans le service."
ECOMMERCE-000064,2025-11-25,Avis site,Client entreprise,Île-de-France,Abonnement premium,Livraison,2,negative,Livraison / Logistique,transporteur injoignable,transporteur injoignable,Modérée,perte de confiance post-achat,False,"J’ai payé une livraison express pour recevoir ma commande avant un déplacement, mais le colis est arrivé avec plusieurs jours de retard. Cette situation est remontée depuis Île-de-France et touche surtout le parcours livraison."
ECOMMERCE-000065,2026-02-14,Chat client,Client premium,Suisse,Commande marketplace,Remboursement,1,negative,Support client,réponses contradictoires,réponses contradictoires,Faible,augmentation des relances et baisse satisfaction,False,je comprends pas
ECOMMERCE-000066,2025-06-03,Application mobile,Client entreprise,Auvergne-Rhône-Alpes,Retour produit,Achat,2,negative,Support client,réponses contradictoires,réponses contradictoires,Faible,augmentation des relances et baisse satisfaction,False,Le service client répond avec des messages automatiques qui ne traitent pas mon problème. Cela donne l’impression que le suivi n’est pas maîtrisé.
ECOMMERCE-000067,2025-05-07,Email SAV,Client premium,Hauts-de-France,Abonnement premium,Remboursement,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"Le service fonctionne, mais certaines étapes pourraient être mieux expliquées."
ECOMMERCE-000068,2025-09-30,Trustpilot,Client entreprise,Hauts-de-France,Livraison standard,Livraison,3,negative,Produit / Qualité,erreur de taille,erreur de taille,Faible,dégradation de la promesse produit,False,"Le produit reçu ne correspond pas aux photos du site. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
ECOMMERCE-000069,2025-11-09,Trustpilot,Client régulier,Île-de-France,Retour produit,Retour,1,negative,Livraison / Logistique,colis marqué livré mais non reçu,colis marqué livré mais non reçu,Faible,perte de confiance post-achat,False,bloqué depuis hier
ECOMMERCE-000070,2025-08-24,Chat client,Nouveau client,Hauts-de-France,Livraison express,Achat,1,negative,Support client,réponses automatiques,réponses automatiques,Modérée,augmentation des relances et baisse satisfaction,False,tjr aucun suivi
ECOMMERCE-000071,2025-03-20,Chat client,Nouveau client,Auvergne-Rhône-Alpes,Retour produit,Remboursement,2,negative,Support client,relances multiples,relances multiples,Faible,augmentation des relances et baisse satisfaction,False,Le service client répond avec des messages automatiques qui ne traitent pas mon problème. Cela a augmenté le stress autour de la démarche.
ECOMMERCE-000072,2025-11-12,Email SAV,Client entreprise,Suisse,Livraison express,Remboursement,1,negative,Support client,réponses contradictoires,réponses contradictoires,Critique,augmentation des relances et baisse satisfaction,True,J’ai ouvert une demande urgente mais je n’ai reçu aucune réponse utile pendant plusieurs jours. Cela a retardé une décision importante.
ECOMMERCE-000073,2026-02-24,Trustpilot,Client entreprise,Auvergne-Rhône-Alpes,Retour produit,Livraison,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"Le service fonctionne, mais certaines étapes pourraient être mieux expliquées."
ECOMMERCE-000074,2025-01-05,Avis site,Client premium,Auvergne-Rhône-Alpes,Commande marketplace,Retour,4,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,toujours le même problème
ECOMMERCE-000075,2025-11-12,Application mobile,Client premium,Hauts-de-France,Retour produit,Livraison,2,negative,Support client,relances multiples,relances multiples,Faible,augmentation des relances et baisse satisfaction,False,"J’ai contacté le support trois fois et j’ai reçu trois réponses différentes. Le cas concerne le segment client premium, sur le parcours livraison, avec un impact direct sur retour produit."
ECOMMERCE-000076,2025-04-06,Chat client,Client régulier,Île-de-France,Retour produit,Remboursement,3,negative,Support client,absence de suivi,absence de suivi,Faible,augmentation des relances et baisse satisfaction,False,toujours rien...
ECOMMERCE-000077,2025-03-18,Avis site,Client premium,Auvergne-Rhône-Alpes,Commande marketplace,Achat,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,réponse rapide et claire
ECOMMERCE-000078,2025-10-18,Trustpilot,Client premium,Île-de-France,Livraison standard,Retour,1,negative,Support client,absence de suivi,absence de suivi,Faible,augmentation des relances et baisse satisfaction,False,"L’agent était poli, mais il n’avait pas la capacité de résoudre le problème. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
ECOMMERCE-000079,2026-01-06,Email SAV,Client premium,Suisse,Livraison standard,Remboursement,1,negative,Remboursement / Facturation,montant incorrect,montant incorrect,Modérée,friction financière et perte de crédibilité,False,tjr aucun suivi
ECOMMERCE-000080,2025-07-21,Email SAV,Client régulier,Suisse,Commande marketplace,Remboursement,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"super expérience, rien à signaler"
ECOMMERCE-000081,2025-08-10,Avis site,Client régulier,Belgique,Commande marketplace,Support après-vente,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"Le service a été rapide, clair et la personne en charge m’a donné une réponse utile."
ECOMMERCE-000082,2025-02-23,Trustpilot,Client régulier,Belgique,Livraison express,Retour,1,negative,Support client,absence de suivi,absence de suivi,Faible,augmentation des relances et baisse satisfaction,False,"J’ai contacté le support trois fois et j’ai reçu trois réponses différentes. Le problème n’est pas isolé : il génère des relances, de l’incertitude et une perception de manque de maîtrise."
ECOMMERCE-000083,2025-05-13,Avis site,Client régulier,Suisse,Livraison standard,Retour,1,negative,Support client,réponses automatiques,réponses automatiques,Faible,augmentation des relances et baisse satisfaction,False,vraiment compliqué
ECOMMERCE-000084,2026-02-18,Avis site,Client régulier,Suisse,Retour produit,Livraison,1,negative,Produit / Qualité,produit défectueux,produit défectueux,Modérée,dégradation de la promesse produit,False,Le produit reçu ne correspond pas aux photos du site. Cela a créé une perte de confiance.
ECOMMERCE-000085,2025-10-13,Avis site,Client régulier,Auvergne-Rhône-Alpes,Livraison express,Remboursement,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"La procédure est faisable, mais elle demande beaucoup d’attention pour éviter une erreur."
ECOMMERCE-000086,2025-11-28,Email SAV,Client entreprise,Suisse,Abonnement premium,Achat,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"super expérience, rien à signaler"
ECOMMERCE-000087,2025-08-20,Avis site,Client entreprise,Île-de-France,Commande marketplace,Remboursement,1,negative,Support client,réponses contradictoires,réponses contradictoires,Faible,augmentation des relances et baisse satisfaction,False,J’ai contacté le support trois fois et j’ai reçu trois réponses différentes. Cette situation est remontée depuis Île-de-France et touche surtout le parcours remboursement.
ECOMMERCE-000088,2025-09-03,Application mobile,Client premium,Belgique,Abonnement premium,Retour,1,negative,Livraison / Logistique,retard livraison express,retard livraison express,Modérée,perte de confiance post-achat,True,impossible de suivre le dossier
ECOMMERCE-000089,2025-08-20,Trustpilot,Client entreprise,Belgique,Livraison standard,Retour,1,negative,Remboursement / Facturation,montant incorrect,montant incorrect,Faible,friction financière et perte de crédibilité,False,très déçu
ECOMMERCE-000090,2025-11-02,Email SAV,Nouveau client,Auvergne-Rhône-Alpes,Abonnement premium,Achat,2,negative,Remboursement / Facturation,remboursement trop lent,remboursement trop lent,Faible,friction financière et perte de crédibilité,False,merci au support
ECOMMERCE-000091,2025-11-01,Chat client,Client premium,Suisse,Retour produit,Achat,1,negative,Support client,relances multiples,relances multiples,Modérée,augmentation des relances et baisse satisfaction,False,J’ai contacté le support trois fois et j’ai reçu trois réponses différentes. Cela a retardé une décision importante.
ECOMMERCE-000092,2025-01-15,Application mobile,Client entreprise,Suisse,Abonnement premium,Support après-vente,5,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,réponse rapide et claire
ECOMMERCE-000093,2025-07-10,Chat client,Nouveau client,Hauts-de-France,Retour produit,Retour,2,negative,Livraison / Logistique,transporteur injoignable,transporteur injoignable,Modérée,perte de confiance post-achat,False,"J’ai payé une livraison express pour recevoir ma commande avant un déplacement, mais le colis est arrivé avec plusieurs jours de retard. Cette situation est remontée depuis Hauts-de-France et touche surtout le parcours retour."
ECOMMERCE-000094,2025-11-27,Email SAV,Client entreprise,Auvergne-Rhône-Alpes,Retour produit,Retour,3,neutral,Communication,amélioration souhaitée,manque de clarté partiel,Faible,friction légère,False,"bof, ça marche mais ce n’est pas très clair"
ECOMMERCE-000095,2025-05-28,Application mobile,Client régulier,Hauts-de-France,Livraison standard,Achat,1,negative,Remboursement / Facturation,facture incompréhensible,facture incompréhensible,Faible,friction financière et perte de crédibilité,False,bof
ECOMMERCE-000096,2025-10-13,Chat client,Client entreprise,Île-de-France,Abonnement premium,Remboursement,2,negative,Livraison / Logistique,colis endommagé,colis endommagé,Modérée,perte de confiance post-achat,False,"J’ai payé une livraison express pour recevoir ma commande avant un déplacement, mais le colis est arrivé avec plusieurs jours de retard. Cette situation est remontée depuis Île-de-France et touche surtout le parcours remboursement."
ECOMMERCE-000097,2025-12-01,Avis site,Client premium,Auvergne-Rhône-Alpes,Livraison standard,Remboursement,1,negative,Remboursement / Facturation,montant incorrect,montant incorrect,Faible,friction financière et perte de crédibilité,False,très déçu
ECOMMERCE-000098,2025-08-21,Avis site,Nouveau client,Belgique,Retour produit,Support après-vente,1,negative,Support client,absence de suivi,absence de suivi,Faible,augmentation des relances et baisse satisfaction,False,jattend depuis 2 semaine
ECOMMERCE-000099,2025-05-12,Avis site,Client entreprise,Auvergne-Rhône-Alpes,Commande marketplace,Achat,1,negative,Support client,réponses contradictoires,réponses contradictoires,Élevée,augmentation des relances et baisse satisfaction,True,"J’ai ouvert une demande urgente mais je n’ai reçu aucune réponse utile pendant plusieurs jours. Le cas concerne le segment client entreprise, sur le parcours achat, avec un impact direct sur commande marketplace."
ECOMMERCE-000100,2025-07-10,Application mobile,Nouveau client,Suisse,Livraison express,Retour,4,positive,Expérience positive,service satisfaisant,aucun irritant majeur,Faible,satisfaction et confiance,False,"super expérience, rien à signaler"
ECOMMERCE-000101,2025-04-05,Email SAV,Client régulier,Île-de-France,Retour produit,Livraison,2,negative,Produit / Qualité,produit défectueux,produit défectueux,Faible,dégradation de la promesse produit,False,"Il manque une pièce essentielle dans le colis, donc je ne peux pas utiliser le produit. Cela donne l’impression que le suivi n’est pas maîtrisé."
